15:47:22.167 [main] INFO  c.e.weatherapp.WeatherAppApplication - Starting WeatherAppApplication using Java 17.0.2 on martinNtb with PID 19988 (C:\Users\marth\Documents\Java\PPJ\PPJ_2022\WeatherApp\target\classes started by marth in C:\Users\marth\Documents\Java\PPJ\PPJ_2022\WeatherApp)
15:47:27.359 [scheduling-1] INFO  c.e.weatherapp.rest.RestController - New data downloaded
15:47:27.439 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
15:47:27.456 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
15:47:27.464 [main] INFO  c.e.weatherapp.WeatherAppApplication - Started WeatherAppApplication in 5.555 seconds (JVM running for 6.201)
15:47:27.464 [main] INFO  c.e.weatherapp.WeatherAppApplication - Application started
15:48:01.920 [http-nio-8080-exec-3] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
15:48:01.920 [http-nio-8080-exec-3] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
15:48:01.928 [http-nio-8080-exec-3] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 8 ms
15:48:27.063 [scheduling-1] INFO  c.e.weatherapp.rest.RestController - New data downloaded
15:49:27.052 [scheduling-1] INFO  c.e.weatherapp.rest.RestController - New data downloaded
15:50:27.062 [scheduling-1] INFO  c.e.weatherapp.rest.RestController - New data downloaded
15:51:10.371 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
15:51:10.387 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
15:51:10.452 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
