location, country, time, temp, pressure, humidity, visibility, wind speed, wind degree, clouds, date
Ostrava,CZ,1652276493,25.6,1016.0,38.0,10000.0,7.2,230.0,0.0,Wed May 11 15:44:31 CEST 2022
Kladno,CZ,1652276263,26.32,1014.0,38.0,10000.0,5.66,230.0,0.0,Wed May 11 15:45:31 CEST 2022
Mladá Boleslav,CZ,1652276492,26.99,1013.0,46.0,10000.0,5.16,234.0,72.0,Wed May 11 15:45:31 CEST 2022
Olomouc,CZ,1652276400,26.1,1015.0,54.0,10000.0,5.11,193.0,99.0,Wed May 11 15:45:31 CEST 2022
Ostrava,CZ,1652276493,25.6,1016.0,38.0,10000.0,7.2,230.0,0.0,Wed May 11 15:45:31 CEST 2022
Kladno,CZ,1652276263,26.32,1014.0,38.0,10000.0,5.66,230.0,0.0,Wed May 11 15:46:31 CEST 2022
Mladá Boleslav,CZ,1652276492,26.99,1013.0,46.0,10000.0,5.16,234.0,72.0,Wed May 11 15:46:31 CEST 2022
Olomouc,CZ,1652276400,26.1,1015.0,54.0,10000.0,5.11,193.0,99.0,Wed May 11 15:46:31 CEST 2022
Ostrava,CZ,1652276493,25.6,1016.0,38.0,10000.0,7.2,230.0,0.0,Wed May 11 15:46:31 CEST 2022
Kladno,CZ,1652276263,26.32,1014.0,38.0,10000.0,5.66,230.0,0.0,Wed May 11 15:47:31 CEST 2022
Mladá Boleslav,CZ,1652276492,26.99,1013.0,46.0,10000.0,5.16,234.0,72.0,Wed May 11 15:47:31 CEST 2022
Olomouc,CZ,1652276400,26.1,1015.0,54.0,10000.0,5.11,193.0,99.0,Wed May 11 15:47:31 CEST 2022
Ostrava,CZ,1652276493,25.6,1016.0,38.0,10000.0,7.2,230.0,0.0,Wed May 11 15:47:31 CEST 2022
Kladno,CZ,1652276263,26.32,1014.0,38.0,10000.0,5.66,230.0,0.0,Wed May 11 15:48:31 CEST 2022
Mladá Boleslav,CZ,1652276492,26.99,1013.0,46.0,10000.0,5.16,234.0,72.0,Wed May 11 15:48:31 CEST 2022
